"","MMpurple","MMturquoise","MMbrown","MMred","MMgreenyellow","MMpink","MMmagenta","MMgreen","MMyellow","MMblack","MMblue","MMgrey"
"GSTA1",0.181196982897966,0.0257228188488351,-0.00224376815956805,-0.151144281831338,-0.189529108845701,0.0863022636587085,-0.0385375191725678,-0.135595931913591,0.0432169051649306,0.105600507596171,0.23680527695656,0.21565453447162
"GSTA2",-0.0221224478302052,0.379944379129616,0.137815268962768,0.100375205375382,0.0100994745329946,-0.00296796814207448,-0.0704662276734652,-0.256408858127876,-0.131342969851662,-0.155274237607466,-0.251216046120143,-0.234985719796171
"GSTM1",0.0460916016617427,-0.0622509959546731,-0.00783952916237582,-0.0530740683231545,-0.0684844607275029,0.0615373336846963,0.0253753319122,0.0425539320899805,0.0371739305151447,0.0434443714439765,0.12437073885826,0.104334128016839
"GSTM2",0.22931170647677,-0.00330559912897494,0.0291279391832201,-0.0795997917490584,-0.25846816093912,0.118856136288617,-0.00388799691004191,-0.00634894472393949,0.0624298189472357,0.171158003980399,0.277097660314215,0.405053185845856
"GSTM3",0.194439759673157,-0.203287550530216,-0.0603275503672816,-0.129464317871166,-0.250995948664356,0.16169585370526,0.10962651260659,0.105443548783969,0.139958051240399,0.266036500467538,0.412049884401616,0.454384244579329
"GSTM4",0.202492025019363,-0.0558373929899665,0.0404275454597855,-0.0959476757873686,-0.219588489157545,0.159547395454918,0.0254320413196784,0.0590857379583407,0.0123950270211249,0.197006717448601,0.319624812480906,0.363891716046998
"GSTM5",0.273643347987757,0.852510872954982,0.285960006157897,0.350693679451999,-0.0836463272048343,-0.0634686757444426,-0.141936710464971,-0.24054609910363,-0.452377898841896,-0.389695689864382,-0.555509449513016,-0.258876350725057
"GSTT1",0.0463078720607894,0.229767117841605,0.0484380368942496,0.0779400813508202,0.0382068066482063,-0.0389980722142878,-0.0708769015617821,-0.103557253073626,-0.127407620618561,-0.142490851271475,-0.154946620205577,-0.10400365136205
"GSX1",-0.0428532005037016,-0.0317527658090136,0.0371957206013824,-0.00874150017240408,-0.06008860246053,-0.00133928521924213,-0.00474275721492215,0.015932474338306,0.0230000209277522,0.0286071333258342,0.0337205558640582,0.0875136776660585
"GTSF1",0.0553732182403204,0.00276085583287917,0.201326678761286,0.0685536463631887,0.0813365834514489,0.209525929423155,0.134178438188243,0.144956468231593,0.0529968798594666,0.420736004589189,0.127798658070247,0.188575794817807
"GUCA1A",-0.0373994495708866,-0.490530131536815,0.0851218521600196,-0.101213259507383,-0.00434651553775569,0.111527087312322,0.215474046241681,0.725312827748469,0.379159933787961,0.400338003830655,0.555381403779734,0.42983750786946
"GUCA1C",0.0843355302792503,-0.147822974153238,-0.0545569903093257,-0.0997787949676112,-0.0892034656166646,0.0340340213102253,0.118945528076346,0.0769147276338498,0.060953959144409,0.0955200910273333,0.222954822552918,0.260499836601334
"GUCA2B",0.0791792258691028,0.319891548638291,0.0359735981946994,0.155727559349416,-0.10403039180957,0.0455438945351086,0.0233651878565569,-0.23260848137283,-0.128935930098332,-0.0734881245619776,-0.287349458108704,-0.179887076551618
"GUCY2C",-0.189877404065168,-0.0449761895972868,0.0609092920047619,0.00417094759142292,0.00255379839735089,0.0694423410885376,0.0638227664424131,0.0443813951523045,0.0972347357171333,0.136378373309651,-0.014935443453471,-0.126653204637851
"GYPA",0.077527226764066,0.321219255359043,0.09527703366235,0.107787112573976,-0.0354967371901878,-0.0297643733264825,-0.0672675661703743,-0.164194037262482,-0.0980208269187355,-0.127317220047597,-0.228846243115059,-0.0596669148430689
"GYPC",0.214807979492786,0.854764402644547,0.466903154933823,0.417211308802028,-0.0365075120028785,-0.0597051171919886,-0.144362615841435,-0.193402111574816,-0.367729365986089,-0.378784805147933,-0.569961677340977,-0.283226897395898
"GZMA",0.093367959797205,0.361270576937817,0.841350685106797,0.482597560109187,0.00383921289122051,-0.0285773956634324,-0.059657714739251,0.046253978804876,-0.00952199208674254,-0.160467455644991,-0.18632308273039,-0.107134180778344
"GZMB",0.133010844316925,0.297899845140357,0.769699253799274,0.455632405726228,-0.0099983995871883,-0.00306388756604235,7.20829006926813e-05,0.0751874943712435,0.0617336014712467,-0.0761916686666747,-0.103552963971862,-0.00484691461040457
"GZMH",0.151356743120975,0.537121210127099,0.772770620632197,0.487397078173946,-0.0286960808104213,-0.0400709419321977,-0.11904018621597,-0.0922322919422915,-0.119914866816695,-0.265434069199895,-0.342854980424006,-0.167302671445575
"H1FOO",0.0206655073812662,-0.023657982240479,0.0211631747470678,0.0370899663134023,-0.0208820013550354,0.0819894612808256,0.0402762794652761,0.0103846032155355,0.0587072237696057,0.0763512593129809,0.0607044760269359,0.109031373867545
"H2AFB1",0.0497053184945202,-0.00542969843670595,0.0925188590860036,0.0457078520242966,-0.0529397135108083,0.0216899664756228,0.031782407164803,0.00236561154454313,0.0489851502084465,0.0756451365820319,0.0492350841563289,0.0979511616667899
"H2AFB2",-0.0221714714672863,-0.00924086772993661,0.0898295228353039,0.0478029150616638,0.0382235482755862,0.0270533199058734,0.0989773286727962,0.0535328387894364,0.0948848851798554,0.0990857442088002,0.0165134659404966,0.048295989541294
"H2AFB3",-0.00679337523837442,-0.0210984174746913,0.0829177065274558,0.042749157008117,0.00304588648494291,0.0286639047366571,0.109484428508259,0.0611124374858706,0.114528811715555,0.135634037925604,0.0573922065784981,0.100271533084703
"HABP2",-0.359307805557314,0.345959667747798,0.152073839278216,0.176421252841893,0.339047916896047,-0.0863550265567517,-0.12886469188356,0.0248816481090083,-0.230342227622007,-0.29346193955963,-0.391435979746945,-0.536838006555532
"HAO1",-0.136938408305414,0.0368377037798711,0.0755065857016225,0.0291666423460282,0.0461831941040118,0.0300857371213021,0.0726679343168851,-0.0524937764495666,0.0231062091145028,-0.0268062759153345,-0.116056823686616,-0.129312895683219
"HAS1",0.231932053548967,0.464651015028061,0.204999908712854,0.185184257748283,-0.105364045753565,-0.0463445709978859,-0.0154184344348537,-0.000305395274297726,-0.224070942275855,-0.152860827021367,-0.250423064995413,-0.03297053010938
"HAS3",0.453970754110657,-0.0499599544601411,-0.144617611937025,-0.0809861126571343,-0.203880418291218,-0.0266566101606156,-0.0143172737323736,-0.0301877186284868,-0.0762275627965914,0.0628417409289099,0.377401964554976,0.374913394867057
"HBA1",0.219431924462939,0.792006088638639,0.205560444593854,0.316438537163137,-0.0579751074262733,-0.055605670509614,-0.136321180693945,-0.40064160061935,-0.35822942820155,-0.367598888656697,-0.576512040557749,-0.286491006921647
"HBA2",0.229478158607841,0.791684130248369,0.217776906978892,0.320791263654316,-0.0667229107544107,-0.0507764128797664,-0.139162779696524,-0.393226833188422,-0.36284797034933,-0.359695087340241,-0.567579057945208,-0.274683305694148
