MEgrey60,MEsalmon,MEyellow,MEbrown,MEblue,MEmidnightblue,MEcyan,MEgreen,MEmagenta,MEred,MEblack,MEpurple,MEgreenyellow,MElightcyan,MEturquoise,MEpink,MEtan,MEgrey
ENSG00000187260,ENSG00000229314,ENSG00000130518,ENSG00000077943,ENSG00000064205,ENSG00000064886,,ENSG00000103888,ENSG00000145335,ENSG00000148700,ENSG00000238186,ENSG00000188211,ENSG00000172551,,ENSG00000104154,ENSG00000267523,ENSG00000254682,ENSG00000043093
ENSG00000235169,,ENSG00000135205,ENSG00000079308,ENSG00000064989,ENSG00000064989,,ENSG00000106333,ENSG00000163132,ENSG00000154240,ENSG00000243970,ENSG00000206549,ENSG00000186281,,ENSG00000109771,,ENSG00000254997,ENSG00000051596
ENSG00000260260,,ENSG00000139537,ENSG00000085265,ENSG00000065054,ENSG00000066056,,ENSG00000106366,ENSG00000165617,ENSG00000154856,ENSG00000259943,ENSG00000231305,ENSG00000198523,,ENSG00000114857,,ENSG00000255449,ENSG00000058063
ENSG00000261824,,ENSG00000140057,ENSG00000085514,ENSG00000066056,ENSG00000069702,,ENSG00000106483,ENSG00000168646,ENSG00000163536,ENSG00000260920,ENSG00000231443,ENSG00000198846,,ENSG00000116194,,ENSG00000262877,ENSG00000063660
ENSG00000271857,,ENSG00000141294,ENSG00000086300,ENSG00000066336,ENSG00000071242,,ENSG00000106624,ENSG00000169122,ENSG00000163686,,ENSG00000231628,ENSG00000214022,,ENSG00000116652,,ENSG00000272512,ENSG00000065833
,,ENSG00000145075,ENSG00000087589,ENSG00000067082,ENSG00000071967,,ENSG00000108821,ENSG00000184226,ENSG00000164816,,ENSG00000246982,ENSG00000249915,,ENSG00000120729,,,ENSG00000065911
,,ENSG00000149201,ENSG00000091106,ENSG00000069702,ENSG00000072163,,ENSG00000111799,ENSG00000189184,ENSG00000168646,,ENSG00000260000,,,ENSG00000125772,,,ENSG00000069849
,,ENSG00000155749,ENSG00000092964,ENSG00000071242,ENSG00000074416,,ENSG00000113083,ENSG00000198300,ENSG00000169129,,ENSG00000260196,,,ENSG00000126861,,,ENSG00000070087
,,ENSG00000156042,ENSG00000095370,ENSG00000071967,ENSG00000074527,,ENSG00000113721,ENSG00000255725,ENSG00000169696,,ENSG00000260261,,,ENSG00000127603,,,ENSG00000070731
,,ENSG00000159588,ENSG00000095970,ENSG00000072163,ENSG00000077943,,ENSG00000115414,,ENSG00000170290,,ENSG00000272102,,,ENSG00000127914,,,ENSG00000070961
,,ENSG00000160188,ENSG00000101265,ENSG00000074527,ENSG00000079308,,ENSG00000116132,,ENSG00000178821,,,,,ENSG00000128000,,,ENSG00000071539
,,ENSG00000160345,ENSG00000101307,ENSG00000077943,ENSG00000085265,,ENSG00000120594,,ENSG00000182575,,,,,ENSG00000129003,,,ENSG00000072274
,,ENSG00000160401,ENSG00000102575,ENSG00000078401,ENSG00000087589,,ENSG00000122641,,ENSG00000182600,,,,,ENSG00000135976,,,ENSG00000073111
,,ENSG00000162004,ENSG00000102760,ENSG00000079308,ENSG00000091106,,ENSG00000123384,,ENSG00000188573,,,,,ENSG00000136206,,,ENSG00000075618
,,ENSG00000162148,ENSG00000103569,ENSG00000081052,ENSG00000092964,,ENSG00000123610,,ENSG00000203876,,,,,ENSG00000144426,,,ENSG00000075651
,,ENSG00000166246,ENSG00000103710,ENSG00000085265,ENSG00000095370,,ENSG00000129009,,ENSG00000204421,,,,,ENSG00000144802,,,ENSG00000076382
,,ENSG00000170482,ENSG00000104894,ENSG00000085514,ENSG00000101307,,ENSG00000130508,,ENSG00000225792,,,,,ENSG00000145012,,,ENSG00000077152
,,ENSG00000172361,ENSG00000106991,ENSG00000087074,ENSG00000101417,,ENSG00000130635,,ENSG00000235501,,,,,ENSG00000145075,,,ENSG00000081277
,,ENSG00000172426,ENSG00000107317,ENSG00000087589,ENSG00000102760,,ENSG00000133466,,ENSG00000249684,,,,,ENSG00000152527,,,ENSG00000088325
,,ENSG00000181322,ENSG00000110799,ENSG00000090006,ENSG00000102934,,ENSG00000135074,,ENSG00000267226,,,,,ENSG00000152926,,,ENSG00000091409
,,ENSG00000185432,ENSG00000110876,ENSG00000091106,ENSG00000103710,,ENSG00000136859,,,,,,,ENSG00000154262,,,ENSG00000092621
,,ENSG00000188659,ENSG00000111729,ENSG00000092964,ENSG00000105227,,ENSG00000137801,,,,,,,ENSG00000154553,,,ENSG00000094804
,,ENSG00000197208,ENSG00000112149,ENSG00000095370,ENSG00000105339,,ENSG00000137809,,,,,,,ENSG00000154874,,,ENSG00000095209
,,ENSG00000198003,ENSG00000114854,ENSG00000099994,ENSG00000105974,,ENSG00000138080,,,,,,,ENSG00000157999,,,ENSG00000096092
